집계년도,시군명,업체명,업체전화번호,대표자명,계약기간,수용능력수,비고사항,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
2024,가평군,가평군유기동물보호센터,031-580-4794,가평군수,직영,25,,12408,경기도 가평군 가평읍 승안리 100번지,경기도 가평군 가평읍 아랫마장길 59,37.84600448,127.4986856
2024,고양시,고양시동물보호센터,031-962-3232,고양시장,직영,150,,10563,경기도 고양시 덕양구 원흥동 471-10번지,경기도 고양시 덕양구 고양대로 1695,37.6497779,126.870086
2024,광주시,광주TNR동물병원,031-798-7581,성준우,2024,150,"능력: 개75, 고양이75",12740,경기도 광주시 송정동 6-16번지,경기도 광주시 경안천로 142,37.41734393,127.2750274
2024,남양주시,남양주동물보호센터,031-590-2785,최성용,2024,100,,12246,경기도 남양주시 이패동 484번지,경기도 남양주시 경강로163번길 32-27,37.60878682,127.1915234
2024,부천시,가나동물병원,032-665-0075,최화락,2024,25,,14728,경기도 부천시 소사구 송내동 393-1번지,경기도 부천시 소사구 경인로 72,37.48354504,126.7631804
2024,부천시,정샘동물병원,032-323-4999,정종수,2024,18,,14548,경기도 부천시 원미구 중동 1152번지,경기도 부천시 중동로 244번길,37.50156092,126.7690559
2024,부천시,24시아이동물메디컬,032-677-5262,박수현,2024,30,,14427,경기도 부천시 오정구 원종동 229-8번지,경기도 부천시 오정구 소사로 779,37.52564337,126.8045559
2024,성남시,펫앤쉘터동물병원,031-714-8391,한준근,2024,80,,13601,경기도 성남시 분당구 수내동 87-1번지,경기도 성남시 분당구 불정로 266,37.36709612,127.1276815
2024,수원시,수원시동물보호센터,031-228-3557,수원시장,직영,120,,16511,경기도 수원시 영통구 하동 40-10번지,경기도 수원시 영통구 광교호수로 234,37.28501831,127.0786879
2024,시흥시,시흥시동물누리보호센터,031-310-6943,시흥시장,직영,100,,15007,경기도 시흥시 정왕동 산15-7번지,경기도 시흥시 뒷방울길 218,37.37396885,126.7425423
2024,안산시,(사)한국야생동물보호협회,031-296-0124,박한웅,2024,250,"안산시, 안양시, 광명시, 군포시, 의왕시, 과천시, 하남시",15301,경기도 안산시 상록구 부곡동 231-5번지,경기도 안산시 상록구 청곡길 50,37.3402554,126.8700064
2024,안성시,이성준동물병원,031-673-5858,이성준,2024,90,,17590,경기도 안성시 봉남동 326-2번지,경기도 안성시 중앙로 431-1,37.00659917,127.2747989
2024,양주시,(사)한국동물구조관리협회,031-867-9119,김철훈,2024,800,"양주시, 의정부시, 파주시, 김포시, 구리시, 포천시, 동두천시, 연천군",11409,경기도 양주시 남면 상수리 410-1번지,경기도 양주시 남면 감악산로 63-37,37.87011545,126.9835445
2024,양평군,양평군품유기동물보호센터,031-770-2337,양평군수,직영,216,,12547,경기도 양평군 양평읍 공흥리 1-1번지,경기도 양평군 양평읍 농업기술센터길 59-1,37.51090672,127.5133129
2024,여주시,위더스동물메디컬센터 부설동물보호센터,031-882-4381,이소라,2024,200,"여주시, 이천시",12613,경기도 여주시 천송동 20-3번지,경기도 여주시 여양2로 42,37.30793641,127.6737832
2024,오산시,오산시 수의사회,031-374-4644,박철진,2024,30,,18130,경기도 오산시 오산동 609-55번지,경기도 오산시 성호대로 36,37.14908593,127.0652033
2024,용인시,용인시동물보호센터,031-324-3463,용인시장,직영,200,,17090,경기도 용인시 처인구 삼가동 164번지,경기도 용인시 처인구 중부대로 1074-1,37.24331281,127.1593393
2024,평택시,평택시 동물보호센터,031-8024-3849,최박일,2024,50,,17705,경기도 평택시 진위면 야막리 85-4번지,경기도 평택시 진위면 야막길 108-86,37.1306297,127.055421
2024,하남시,하남시 동물보호센터,031-790-5853,하남시장,시직접,38,,12900,경기도 하남시 미사동 487-7번지,경기도 하남시 미사동로40번길 75-91,37.56875554,127.2075966
2024,화성시,남양동물보호센터,031-356-2281,차현희,2024,200,,18254,경기도 화성시 남양읍 북양리 12-2번지,경기도 화성시 남양읍 화성로 1483-27,37.22494994,126.8434242
